county_cas_data,county,state,FIPS,GISJOIN
Orange,Orange,Indiana,18117,G1801170
Grafton,Grafton,New Hampshire,33009,G3300090
Mecklemburg,Mecklenburg,North Carolina,37119,G3701190
St Lawrence,St. Lawrence,New York,36089,G3600890
Morgan,Morgan,Tennessee,47129,G4701290
Simpson,Simpson,Mississippi,28127,G2801270
Santa Cruz,Santa Cruz,California,06087,G0600870
Union,Union,Oregon,41061,G4100610
Hawaii,Hawaii,Hawaii,15001,G1550015
Bradford,Bradford,Florida,12007,G1200070
Luzerne,Luzerne,Pennsylvania,42079,G4200790
Laclede,Laclede,Missouri,29105,G2901050
Greenville,Greenville,South Carolina,45045,G4500450
Morris,Morris,New Jersey,34027,G3400270
Lincoln,Lincoln,Nevada,32017,G3200170
Washington,Washington,Utah,49053,G4900530
Hamilton,Hamilton,New York,36041,G3600410
Orange,Orange,New York,36071,G3600710
Rockcastle,Rockcastle,Kentucky,21203,G2102030
Lake,Lake,Oregon,41037,G4100370
Quay,Quay,New Mexico,35037,G3500370
Trinity,Trinity,Texas,48455,G4804550
Lafourche,Lafourche,Louisiana,22057,G2200570
Snyder,Snyder,Pennsylvania,42109,G4201090
Polk,Polk,Florida,12105,G1201050
Livingston,Livingston,Michigan,26093,G2600930
Pittsburg,Pittsburg,Oklahoma,40121,G4001210
Sac,Sac,Iowa,19161,G1901610
Erie,Erie,New York,36029,G3600290
Lackawanna,Lackawanna,Pennsylvania,42069,G4200690
Wayne,Wayne,Ohio,39169,G3901690
Stephenson,Stephenson,Illinois,17177,G1701770
Lebanon,Lebanon,Pennsylvania,42075,G4200750
Perry,Perry,Pennsylvania,42099,G4200990
Chittenden,Chittenden,Vermont,50007,G5000070
Morrison,Morrison,Minnesota,27097,G2700970
Ashland,Ashland,Ohio,39005,G3900050
Worth,Worth,Missouri,29227,G2902270
Jefferson Davis,Jefferson Davis,Louisiana,22053,G2200530
Yancey,Yancey,North Carolina,37199,G3701990
Carroll,Carroll,Mississippi,28015,G2800150
Kaufman,Kaufman,Texas,48257,G4802570
Childress,Childress,Texas,48075,G4800750
St Francis,St. Francis,Arkansas,05123,G0501230
Nash,Nash,North Carolina,37127,G3701270
Middlesex,Middlesex,Connecticut,09007,G0900070
